"student_id","instructor_id","service","studage_group","rating"
348,621,1,"late",1
2164,1729,1,"late",5
1751,204,0,"early",3
337,204,0,"late",5
1934,1939,1,"late",4
1016,610,0,"late",2
2035,1091,0,"late",2
967,621,1,"late",4
2483,554,1,"early",1
51,554,1,"late",4
1613,1939,1,"late",3
1090,287,0,"late",4
33,1546,1,"late",4
47,287,0,"late",5
1510,1036,1,"early",4
2088,554,1,"late",3
1208,2076,0,"early",5
2968,204,1,"late",5
1061,1729,0,"late",3
905,295,0,"late",1
332,860,0,"early",4
2143,204,0,"late",4
2735,1729,0,"early",3
1324,1411,0,"early",2
802,1797,1,"early",1
50,1774,0,"late",3
2038,1411,0,"early",4
1340,204,0,"late",5
1524,1729,0,"late",4
377,204,0,"late",4
2477,204,1,"late",2
212,95,0,"late",1
548,1729,0,"early",4
1406,554,1,"early",4
716,1729,1,"early",5
925,554,1,"early",1
1096,621,1,"late",5
2926,204,0,"early",4
1452,2087,1,"late",1
2527,2087,0,"late",3
1630,204,1,"late",4
588,204,0,"late",1
1662,1797,1,"late",3
1884,554,1,"late",3
2851,554,1,"early",2
2950,1729,0,"late",1
1262,991,0,"late",1
741,621,1,"late",2
2964,380,0,"late",5
1613,95,0,"late",2
974,1729,1,"late",2
349,554,1,"late",2
1046,95,0,"late",4
33,1729,0,"late",2
1578,621,1,"late",1
2547,554,1,"early",3
596,1036,1,"early",2
2039,554,1,"late",4
1847,204,1,"late",4
676,610,0,"late",2
2728,653,1,"early",4
1999,554,1,"early",2
2695,1939,0,"late",5
1510,554,1,"early",3
1142,621,1,"late",1
1673,554,1,"early",3
2964,441,0,"late",4
465,1411,0,"late",5
2646,95,0,"late",2
